text,num,fname,lett,gender
Владимирович,1292409,Владимир,В,m
Александрович,1281094,Александр,А,m
Николаевич,1119772,Николай,Н,m
Викторович,743783,Виктор,В,m
Сергеевич,686685,Сергей,С,m
Александровна,657279,Александр,А,f
Владимировна,642208,Владимир,В,f
Иванович,630171,Иван,И,m
Анатольевич,622367,Анатолий,А,m
Николаевна,598728,Николай,Н,f
Юрьевич,536990,Юрий,Ю,m
Михайлович,532906,Михаил,М,m
Васильевич,497215,Василий,В,m
Алексеевич,404880,Алексей,А,m
Викторовна,374833,Виктор,В,f
Ивановна,362469,Иван,И,f
Сергеевна,345229,Сергей,С,f
Валерьевич,316384,Валерий,В,m
Анатольевна,313234,Анатолий,А,f
Петрович,300828,Петр,П,m
Васильевна,282407,Василий,В,f
Михайловна,280688,Михаил,М,f
Евгеньевич,276696,Евгений,Е,m
Геннадьевич,266824,Геннадий,Г,m
Юрьевна,255828,Юрий,Ю,f
Борисович,255266,Борис,Б,m
,246517,,,
Алексеевна,218684,Алексей,А,f
Андреевич,216793,Андрей,А,m
Павлович,189829,Павел,П,m
Вячеславович,182941,Вячеслав,В,m
Леонидович,172470,Леонид,Л,m
Игоревич,170064,Игорь,И,m
Петровна,169180,Петр,П,f
Дмитриевич,158601,Дмитрий,Д,m
Валентинович,150486,Валентин,В,m
Валерьевна,150311,Валерий,В,f
Олегович,144881,Олег,О,m
Григорьевич,138330,Григорий,Г,m
Евгеньевна,131398,Евгений,Е,f
Геннадьевна,129648,Геннадий,Г,f
Федорович,124001,Федор,Ф,m
Витальевич,123591,Виталий,В,m
Борисовна,119075,Борис,Б,f
Андреевна,112077,Андрей,А,f
Георгиевич,107917,Георгий,Г,m
Павловна,104390,Павел,П,f
Константинович,103895,Константин,К,m
Вячеславовна,88495,Вячеслав,В,f
Леонидовна,87333,Леонид,Л,f
Дмитриевна,85860,Дмитрий,Д,f
Игоревна,78795,Игорь,И,f
Григорьевна,75002,Григорий,Г,f
Валентиновна,73629,Валентин,В,f
Федоровна,71815,Федор,Ф,f
Олеговна,66482,Олег,О,f
Витальевна,59594,Виталий,В,f
Константиновна,54484,Константин,К,f
Степанович,54144,Степан,С,m
Георгиевна,53550,Георгий,Г,f
Станиславович,51761,Станислав,С,m
Семенович,50133,Семен,С,m
Яковлевич,49371,Яков,Я,m
Вадимович,46235,Вадим,В,m
Львович,44091,Лев,Л,m
Ильич,43562,Илья,И,m
Эдуардович,42591,Эдуард,Э,m
Аркадьевич,41738,Аркадий,А,m
Владиславович,36014,Владислав,В,m
Степановна,31185,Степан,С,f
Альбертович,29663,Альберт,А,m
Семеновна,27758,Семен,С,f
