text,num,lett,gender
Александр,1448706,А,m
Сергей,1296918,С,m
Владимир,881026,В,m
Андрей,775150,А,m
Алексей,770366,А,m
Дмитрий,627455,Д,m
Елена,603849,Е,f
Татьяна,526998,Т,f
Евгений,484873,Е,m
Николай,474030,Н,m
Наталья,467125,Н,f
Ольга,463471,О,f
Юрий,441973,Ю,m
Игорь,432563,И,m
Михаил,417732,М,m
Ирина,395608,И,f
Виктор,388938,В,m
Светлана,372890,С,f
Олег,369229,О,m
Валерий,280628,В,m
Анатолий,256250,А,m
Людмила,250869,Л,f
Галина,247882,Г,f
Павел,246078,П,m
Иван,229222,И,m
Максим,225200,М,m
Марина,216434,М,f
Анна,211737,А,f
Вячеслав,209695,В,m
Юлия,201450,Ю,f
Валентина,200386,В,f
Денис,197203,Д,m
Роман,195914,Р,m
Екатерина,193834,Е,f
Константин,192223,К,m
Надежда,189062,Н,f
Виталий,188598,В,m
Василий,171185,В,m
Мария,155478,М,f
Любовь,145389,Л,f
Геннадий,138589,Г,m
Антон,138538,А,m
Вадим,136783,В,m
Нина,130743,Н,f
Оксана,124653,О,f
Лариса,121620,Л,f
Илья,110504,И,m
Анастасия,109501,А,f
Борис,107619,Б,m
Руслан,95881,Р,m
Станислав,92739,С,m
Владислав,92184,В,m
Вера,92118,В,f
Петр,89184,П,m
Леонид,87690,Л,m
Артем,84900,А,m
Наталия,80838,Н,f
Евгения,77496,Е,f
Эдуард,74326,Э,m
Тамара,73684,Т,f
Виктория,72114,В,f
Кирилл,70460,К,m
Александра,66600,А,f
Лидия,65275,Л,f
Григорий,55669,Г,m
Георгий,53590,Г,m
Артур,52240,А,m
Валентин,51986,В,m
Алла,49010,А,f
Никита,45212,Н,m
Инна,43806,И,f
Раиса,37870,Р,f
Лилия,37186,Л,f
Маргарита,36726,М,f
Ксения,36167,К,f
Марат,35926,М,m
Олеся,35872,О,f
Дарья,34987,Д,f
Альберт,32402,А,m
Антонина,31600,А,f
Федор,31156,Ф,m
Зинаида,29654,З,f
Яна,27650,Я,f
Тимур,27278,Т,m
Кристина,27263,К,f
Егор,26130,Е,m
Жанна,25933,Ж,f
Зоя,25916,З,f
Аркадий,25078,А,m
,24264,,m
Рустам,24135,Р,m
Алена,23479,А,f
Ринат,23374,Р,m
Артём,20277,А,m
Альбина,19983,А,f
Алина,19700,А,f
Эльвира,19646,Э,f
Лев,19446,Л,m
Магомед,19191,М,m
Елизавета,19168,Е,f
Валерия,19121,В,f
Ильдар,18705,И,m
Степан,17739,С,m
Вероника,17322,В,f
Ярослав,17086,Я,m
Рамиль,16607,Р,m
Даниил,16238,Д,m
Семен,16159,С,m
А.,14920,,m
Полина,14266,П,f
