text,num,gender,f_form,fname,m_form
Иванов,105899,m,Иванова,Иван,
Кузнецов,72163,m,Кузнецова,,
Попов,59706,m,Попова,,
Смирнов,59499,m,Смирнова,,
Иванова,52912,f,,Иван,Иванов
Васильев,48512,m,Васильева,,
Петров,48221,m,Петрова,Петр,
Кузнецова,37236,f,,,Кузнецов
Волков,34630,m,Волкова,,
Соколов,34445,m,Соколова,,
Козлов,34437,m,Козлова,,
Новиков,34319,m,Новикова,,
Морозов,34060,m,Морозова,,
Павлов,32846,m,Павлова,,
Михайлов,32609,m,Михайлова,Михайл,
Федоров,31692,m,Федорова,Федор,
Смирнова,31013,f,,,Смирнов
Степанов,30660,m,Степанова,Степан,
Семенов,30015,m,Семенова,Семен,
Макаров,30008,m,Макарова,Макар,
Егоров,29826,m,Егорова,Егор,
Алексеев,28856,m,Алексеева,,
Андреев,28818,m,Андреева,,
Попова,28788,f,,,Попов
Захаров,28031,m,Захарова,Захар,
Николаев,26577,m,Николаева,,
Васильева,26242,f,,,Васильев
Зайцев,26211,m,Зайцева,,
Яковлев,26011,m,Яковлева,,
Романов,25725,m,Романова,Роман,
Никитин,25411,m,Никитина,,
Лебедев,25200,m,Лебедева,,
Петрова,24465,f,,Петр,Петров
Сергеев,24332,m,Сергеева,,
Борисов,24184,m,Борисова,Борис,
Орлов,23047,m,Орлова,,
Григорьев,22777,m,Григорьева,,
Соловьев,22518,m,Соловьева,,
Киселев,21982,m,Киселева,,
Кузьмин,21667,m,Кузьмина,,
Тарасов,21592,m,Тарасова,Тарас,
Воробьев,21380,m,Воробьева,,
Фролов,21237,m,Фролова,Фрол,
Медведев,21105,m,Медведева,,
Шевченко,20591,u,,,
Сорокин,20240,m,Сорокина,,
Жуков,20024,m,Жукова,,
Ковалев,19841,m,Ковалева,,
Бондаренко,19407,u,,,
Баранов,19263,m,Баранова,,
Поляков,19247,m,Полякова,,
Филиппов,19124,m,Филиппова,Филипп,
Белов,19083,m,Белова,,
Дмитриев,18953,m,Дмитриева,,
Мельников,18906,m,Мельникова,,
Гусев,18898,m,Гусева,,
Соколова,18782,f,,,Соколов
Максимов,18669,m,Максимова,Максим,
Ким,18401,u,,,
Волкова,18333,f,,,Волков
Александров,18169,m,Александрова,Александр,
Новикова,18164,f,,,Новиков
Антонов,18018,m,Антонова,Антон,
Павлова,17985,f,,,Павлов
Морозова,17793,f,,,Морозов
Ильин,17789,m,Ильина,,
Сидоров,17650,m,Сидорова,Сидор,
Михайлова,17559,f,,Михайл,Михайлов
Матвеев,17507,m,Матвеева,,
Коваленко,17151,u,,,
Богданов,16971,m,Богданова,Богдан,
Куликов,16833,m,Куликова,,
Данилов,16631,m,Данилова,Данил,
Калинин,16573,m,Калинина,,
Федорова,16394,f,,Федор,Федоров
Осипов,16281,m,Осипова,Осип,
Пономарев,16060,m,Пономарева,,
Макарова,16004,f,,Макар,Макаров
Назаров,15962,m,Назарова,Назар,
Власов,15917,m,Власова,Влас,
Андреева,15784,f,,,Андреев
Гаврилов,15465,m,Гаврилова,Гаврил,
Колесников,15422,m,Колесникова,,
Тимофеев,15355,m,Тимофеева,,
Семенова,15349,f,,Семен,Семенов
Миронов,15338,m,Миронова,Мирон,
Беляев,15295,m,Беляева,,
Захарова,15286,f,,Захар,Захаров
Алексеева,15283,f,,,Алексеев
Алиев,15270,m,Алиева,,
Давыдов,15193,m,Давыдова,Давыд,
Козлова,15177,f,,,Козлов
Романова,15140,f,,Роман,Романов
Афанасьев,15101,m,Афанасьева,,
Степанова,15098,f,,Степан,Степанов
Кравченко,15077,u,,,
Егорова,15075,f,,Егор,Егоров
Абрамов,15002,m,Абрамова,Абрам,
Денисов,14958,m,Денисова,Денис,
Королев,14879,m,Королева,,
Журавлев,14804,m,Журавлева,,
Гончаров,14710,m,Гончарова,,
Николаева,14640,f,,,Николаев
Комаров,14557,m,Комарова,,
Казаков,14516,m,Казакова,,
Карпов,14385,m,Карпова,Карп,
Титов,14370,m,Титова,Тит,
Ткаченко,14353,u,,,
Чернов,14341,m,Чернова,,
Виноградов,14131,m,Виноградова,,
Магомедов,14095,m,Магомедова,Магомед,
Никитина,14049,f,,,Никитин
Коновалов,13877,m,Коновалова,,
Щербаков,13828,m,Щербакова,,
Исаев,13759,m,Исаева,,
Сергеева,13482,f,,,Сергеев
Фомин,13465,m,Фомина,,
Федотов,13420,m,Федотова,Федот,
Лебедева,13410,f,,,Лебедев
Ефимов,13401,m,Ефимова,Ефим,
Яковлева,13336,f,,,Яковлев
Герасимов,13294,m,Герасимова,Герасим,
Орлова,13044,f,,,Орлов
Ермаков,12949,m,Ермакова,Ермак,
Быков,12898,m,Быкова,Бык,
Зайцева,12894,f,,,Зайцев
Тихонов,12862,m,Тихонова,Тихон,
Марков,12823,m,Маркова,Марк,
Горбунов,12821,m,Горбунова,,
Григорьева,12706,f,,,Григорьев
Овчинников,12221,m,Овчинникова,,
Соловьева,12167,f,,,Соловьев
Потапов,12138,m,Потапова,Потап,
Борисова,12133,f,,Борис,Борисов
Ефремов,12109,m,Ефремова,Ефрем,
Кузьмина,11834,f,,,Кузьмин
Крылов,11769,m,Крылова,,
Фролова,11527,f,,Фрол,Фролов
Мартынов,11431,m,Мартынова,Мартын,
Трофимов,11305,m,Трофимова,Трофим,
Мальцев,11232,m,Мальцева,,
Голубев,11228,m,Голубева,,
Малышев,11083,m,Малышева,,
Савельев,11054,m,Савельева,,
Савченко,11043,u,,,
Анисимов,11026,m,Анисимова,Анисим,
Моисеев,10949,m,Моисеева,,
Никифоров,10854,m,Никифорова,Никифор,
Маслов,10830,m,Маслова,,
Воронин,10815,m,Воронина,,
Ибрагимов,10806,m,Ибрагимова,Ибрагим,
Мамедов,10798,m,Мамедова,Мамед,
Наумов,10792,m,Наумова,Наум,
Ковалева,10780,f,,,Ковалев
Мельникова,10741,f,,,Мельников
Дмитриева,10730,f,,,Дмитриев
Филатов,10611,m,Филатова,Филат,
Жукова,10598,f,,,Жуков
Тарасова,10591,f,,Тарас,Тарасов
Лазарев,10585,m,Лазарева,,
Кудрявцев,10537,m,Кудрявцева,,
Климов,10468,m,Климова,Клим,
Медведева,10445,f,,,Медведев
Киселева,10376,f,,,Киселев
Воробьева,10312,f,,,Воробьев
Кириллов,10283,m,Кириллова,Кирилл,
Котов,10262,m,Котова,,
Максимова,10220,f,,Максим,Максимов
Марченко,10199,u,,,
Александрова,10191,f,,Александр,Александров
Леонов,10133,m,Леонова,Леон,
Логинов,10059,m,Логинова,Логин,
Белова,9999,f,,,Белов
Полякова,9994,f,,,Поляков
Белоусов,9977,m,Белоусова,,
Емельянов,9954,m,Емельянова,Емельян,
Антонова,9917,f,,Антон,Антонов
Плотников,9917,m,Плотникова,,
Родионов,9863,m,Родионова,Родион,
Соболев,9837,m,Соболева,,
Бойко,9713,u,,,
Матвеева,9697,f,,,Матвеев
Сорокина,9678,f,,,Сорокин
Архипов,9625,m,Архипова,Архип,
Гришин,9617,m,Гришина,,
Ершов,9580,m,Ершова,,
Ильина,9478,f,,,Ильин
Филиппова,9409,f,,Филипп,Филиппов
Богданова,9383,f,,Богдан,Богданов
Кондратьев,9299,m,Кондратьева,,
Михеев,9228,m,Михеева,,
Гусева,9175,f,,,Гусев
Власова,9162,f,,Влас,Власов
Ли,9149,u,,,
Королева,9144,f,,,Королев
Нестеров,9061,m,Нестерова,Нестер,
Баранова,8997,f,,,Баранов
Черных,8995,u,,,
Ушаков,8977,m,Ушакова,,
Григорян,8955,u,,,
Савин,8887,m,Савина,,
Данилова,8880,f,,Данил,Данилов
Лысенко,8826,u,,,
Евдокимов,8801,m,Евдокимова,Евдоким,
Юдин,8801,m,Юдина,,
Бирюков,8776,m,Бирюкова,,
Токарев,8767,m,Токарева,,
Лобанов,8731,m,Лобанова,,
Князев,8713,m,Князева,,
Куликова,8704,f,,,Куликов
Миронова,8675,f,,Мирон,Миронов
Краснов,8546,m,Краснова,,
Харитонов,8532,m,Харитонова,Харитон,
Клименко,8514,u,,,
Рябов,8507,m,Рябова,,
Сафронов,8485,m,Сафронова,Сафрон,
Руденко,8482,u,,,
Давыдова,8450,f,,Давыд,Давыдов
Осипова,8428,f,,Осип,Осипов
Назарова,8387,f,,Назар,Назаров
Гончарова,8367,f,,,Гончаров
Журавлева,8353,f,,,Журавлев
Третьяков,8308,m,Третьякова,,
Литвинов,8307,m,Литвинова,,
Зуев,8280,m,Зуева,,
Сидорова,8277,f,,Сидор,Сидоров
Арутюнян,8246,u,,,
Панов,8180,m,Панова,,
Беляева,8150,f,,,Беляев
Лукьянов,8140,m,Лукьянова,Лукьян,
Галкин,8130,m,Галкина,,
Колесникова,8113,f,,,Колесников
Казакова,8102,f,,,Казаков
Шишкин,8086,m,Шишкина,,
Абрамова,8060,f,,Абрам,Абрамов
Жданов,8021,m,Жданова,Ждан,
Симонов,8017,m,Симонова,Симон,
Денисова,8013,f,,Денис,Денисов
Костин,8005,m,Костина,,
Пономарева,8001,f,,,Пономарев
Тимофеева,7961,f,,,Тимофеев
Елисеев,7956,m,Елисеева,,
Сидоренко,7937,u,,,
Гаврилова,7898,f,,Гаврил,Гаврилов
Скворцов,7865,m,Скворцова,,
Цветков,7849,m,Цветкова,,
Титова,7826,f,,Тит,Титов
Ефимова,7826,f,,Ефим,Ефимов
Афанасьева,7825,f,,,Афанасьев
Калинина,7763,f,,,Калинин
Сафонов,7684,m,Сафонова,Сафон,
Петухов,7664,m,Петухова,,
Игнатьев,7613,m,Игнатьева,,
Шестаков,7594,m,Шестакова,,
Карпова,7586,f,,Карп,Карпов
Демидов,7585,m,Демидова,Демид,
Прохоров,7583,m,Прохорова,Прохор,
Громов,7575,m,Громова,,
Петренко,7532,u,,,
Гордеев,7525,m,Гордеева,,
Юсупов,7495,m,Юсупова,Юсуп,
Филимонов,7465,m,Филимонова,Филимон,
Беляков,7423,m,Белякова,,
Виноградова,7418,f,,,Виноградов
Комарова,7400,f,,,Комаров
Калашников,7373,m,Калашникова,,
Чернова,7372,f,,,Чернов
Мельник,7350,u,,,
Константинов,7349,m,Константинова,Константин,
Акимов,7327,m,Акимова,Аким,
Никулин,7326,m,Никулина,,
Аксенов,7277,m,Аксенова,Аксен,
Кудряшов,7267,m,Кудряшова,,
Демин,7265,m,Демина,,
Федотова,7252,f,,Федот,Федотов
Бородин,7242,m,Бородина,,
Герасимова,7231,f,,Герасим,Герасимов
Румянцев,7216,m,Румянцева,,
Василенко,7202,u,,,
Харченко,7188,u,,,
Грачев,7187,m,Грачева,,
Левин,7166,m,Левина,,
Хохлов,7155,m,Хохлова,,
Казанцев,7130,m,Казанцева,,
Коротков,7108,m,Короткова,,
Кириченко,7103,u,,,
Авдеев,7101,m,Авдеева,,
Павленко,7089,u,,,
Воронов,7014,m,Воронова,,
